Valid Perfect Square	
Binary Search
Sqrt(x)
Add Binary
Plus One
Remove Element
Remove Duplicates
Merge Two Sorted Lists	
Valid Parentheses
Longest Common Prefix
Roman to Integer
Palindrome Number
Course Schedule
Combinations
Word Search
Diameter of Binary Tree
Simplify Path
Merge Sorted Array
Binary Tree Level Order Traversal
Same Tree
Binary Tree Inorder Traversal
Find the Town Judge
Crawler Log Folder
Sum of Digits of String After Convert
